order_ID,contact,email,street_address,city,state,zip,order_date,vehicles_ordered
2034,Jamie Crawley,Jamie_Crawley2071@amazoncom.com,9147 Andover Ave.," Powhatan"," VA ",23139,12/28/2004,463928.58|2004 BMW M6;530863.10|2001 Ford Focus
4034,Agnes Moreno,Agnes_Moreno5720@teamguardsrl.com,44 Amherst Road," New Rochelle"," NY ",10801,6/7/2011,104727.45|2011 Audi Q5
4034,Agnes Moreno,Agnes_Moreno5720@teamguardsrl.com,44 Amherst Road," New Rochelle"," NY ",10801,6/7/2011,104727.45|2011 Audi Q5
6034,Noah Ogilvy,Noah_Ogilvy6139@vodafone.com,22 Race Road," Hopkins"," MN ",55343,3/12/2015,668280.53|2015 Mazda Three
8034,Matthew Mason,Matthew_Mason6311@teamguardsrl.com,153 Inverness St.," Moses Lake"," WA ",98837,12/25/2009,485775.68|2009 Ford Kuga;892314.12|2018 Audi Q6;402598.14|2017 Mazda CX5;806105.79|2000 Opel Insignia
10034,Shelby Ross,Shelby_Ross6451@exxonmobil.com,28 SE. Whitemarsh Street," Front Royal"," VA ",22630,3/31/2001,505274.53|2001 BMW X1
12034,Rosalyn Bright,Rosalyn_Bright3235@dyncorp.com,69 Sherwood St.," Everett"," MA ",02149,8/17/2011,577215.63|2011 BMW M6
14034,Wade Corbett,Wade_Corbett4832@zepter.com,79 Valley View Drive," Camas"," WA ",98607,10/26/2018,137429.12|2018 BMW X1
14034,Wade Corbett,Wade_Corbett4832@zepter.com,79 Valley View Drive," Camas"," WA ",98607,10/26/2018,137429.12|2018 BMW X1
16034,Peyton Donovan,Peyton_Donovan416@carrefour.com,7487 Pawnee Street," West Islip"," NY ",11795,11/19/2012,665467.06|2012 Ford Mondeo
18034,Emerald Burge,Emerald_Burge5807@metrocashcarry.com,9635 Oakland Lane," Boca Raton"," FL ",33428,9/28/2001,139895.81|2001 Hyundai Tucson
20034,Kate Healy,Kate_Healy1667@enel.com,881 Van Dyke Dr.," Hartsville"," SC ",29550,11/29/2017,361805.25|2017 Audi V8
22034,Sylvia Nelson,Sylvia_Nelson8897@enel.com,409 SE. Highland Ave.," Tacoma"," WA ",98444,8/6/2014,724988.40|2014 Audi Q1
22034,Sylvia Nelson,Sylvia_Nelson8897@enel.com,409 SE. Highland Ave.," Tacoma"," WA ",98444,8/6/2014,724988.40|2014 Audi Q1
24034,Vera Goodman,Vera_Goodman4386@demaco.com,8491 Selby Street," Grovetown"," GA ",30813,10/22/2020,158757.92|2020 Opel Astra
26034,Gwen Lakey,Gwen_Lakey7679@aecom.com,586 Valley St.," Midland"," MI ",48640,10/20/2011,94418.29|2011 Audi A8
28034,Bryon Irving,Bryon_Irving2656@danone.com,171 South East Ave.," Natchez"," MS ",39120,12/22/2017,750963.01|2017 Kia Sorento
30034,Susan Potter,Susan_Potter4823@21stcenturyfox.com,267 Goldfield Street," Stillwater"," MN ",55082,5/13/2019,470196.67|2019 Mitsubishi Lancer
32034,Cadence York,Cadence_York3550@metrocashcarry.com,9698 Meadow Avenue," Christiansburg"," VA ",24073,11/22/2017,784097.37|2017 Dacia Sandero
34034,Alexa Jennson,Alexa_Jennson2088@danone.com,7 Warren St.," Mankato"," MN ",56001,7/1/2011,384288.89|2011 Fiat Cronos
36034,Denis Ebden,Denis_Ebden2336@vodafone.com,7992 Summit St.," North Brunswick"," NJ ",08902,4/20/2017,259782.31|2017 Ford Kuga
38034,Remy Irving,Remy_Irving384@vodafone.com,374 Griffin St.," Canonsburg"," PA ",15317,12/28/2008,917660.73|2008 Dacia Sandero
40034,Tyson Nash,Tyson_Nash5374@vodafone.com,56 South Rockaway Drive," Vernon Rockville"," CT ",06066,5/1/2000,343464.30|2000 Fiat Cronos
40034,Tyson Nash,Tyson_Nash5374@vodafone.com,56 South Rockaway Drive," Vernon Rockville"," CT ",06066,5/1/2000,343464.30|2000 Fiat Cronos
42034,Kamila Drew,Kamila_Drew3800@enel.com,8143 West Ryan St.," Huntley"," IL ",60142,9/12/2010,936945.30|2010 Opel Insignia
44034,Brad Hood,Brad_Hood6247@vodafone.com,708 E. Pennsylvania St.," Loveland"," OH ",45140,7/31/2009,846471.44|2009 Honda Civic
